Step 226/300: V_g=0.402007: 15 iterations, reldev=0.17222, converged!
Step 227/300: V_g=0.404682: 15 iterations, reldev=0.178967, converged!
Step 228/300: V_g=0.407358: 15 iterations, reldev=0.184313, converged!
Step 229/300: V_g=0.410033: 15 iterations, reldev=0.189507, converged!
Step 230/300: V_g=0.412709: 14 iterations, reldev=0.989144, converged!
Step 231/300: V_g=0.415385: 14 iterations, reldev=0.968245, converged!
Step 232/300: V_g=0.41806: 14 iterations, reldev=0.944727, converged!
Step 233/300: V_g=0.420736: 14 iterations, reldev=0.922472, converged!
Step 234/300: V_g=0.423411: 14 iterations, reldev=0.895597, converged!
Step 235/300: V_g=0.426087: 14 iterations, reldev=0.868553, converged!
Step 236/300: V_g=0.428763: 14 iterations, reldev=0.841264, converged!
Step 237/300: V_g=0.431438: 14 iterations, reldev=0.817057, converged!
Step 238/300: V_g=0.434114: 14 iterations, reldev=0.794628, converged!
Step 239/300: V_g=0.436789: 14 iterations, reldev=0.771503, converged!
Step 240/300: V_g=0.439465: 14 iterations, reldev=0.74562, converged!
Step 241/300: V_g=0.44214: 14 iterations, reldev=0.723722, converged!
Step 242/300: V_g=0.444816: 14 iterations, reldev=0.736259, converged!
Step 243/300: V_g=0.447492: 14 iterations, reldev=0.789205, converged!
Step 244/300: V_g=0.450167: 14 iterations, reldev=0.842615, converged!
Step 245/300: V_g=0.452843: 14 iterations, reldev=0.901505, converged!
Step 246/300: V_g=0.455518: 14 iterations, reldev=0.953771, converged!
Step 247/300: V_g=0.458194: 15 iterations, reldev=0.158256, converged!
Step 248/300: V_g=0.46087: 15 iterations, reldev=0.161713, converged!
Step 249/300: V_g=0.463545: 15 iterations, reldev=0.166234, converged!
Step 250/300: V_g=0.466221: 15 iterations, reldev=0.172744, converged!
Step 251/300: V_g=0.468896: 15 iterations, reldev=0.174371, converged!
Step 252/300: V_g=0.471572: 15 iterations, reldev=0.177693, converged!
Step 253/300: V_g=0.474247: 15 iterations, reldev=0.178127, converged!
Step 254/300: V_g=0.476923: 15 iterations, reldev=0.185698, converged!
Step 255/300: V_g=0.479599: 15 iterations, reldev=0.199027, converged!
Step 256/300: V_g=0.482274: 15 iterations, reldev=0.199446, converged!
Step 257/300: V_g=0.48495: 15 iterations, reldev=0.20896, converged!
Step 258/300: V_g=0.487625: 15 iterations, reldev=0.206821, converged!
Step 259/300: V_g=0.490301: 15 iterations, reldev=0.215339, converged!
Step 260/300: V_g=0.492977: 15 iterations, reldev=0.218043, converged!
Step 261/300: V_g=0.495652: 15 iterations, reldev=0.223942, converged!
Step 262/300: V_g=0.498328: 15 iterations, reldev=0.232563, converged!
Step 263/300: V_g=0.501003: 15 iterations, reldev=0.232284, converged!
Step 264/300: V_g=0.503679: 15 iterations, reldev=0.231692, converged!
Step 265/300: V_g=0.506355: 15 iterations, reldev=0.228168, converged!
