Step 126/300: V_g=0.134448: 13 iterations, reldev=0.661245, converged!
Step 127/300: V_g=0.137124: 13 iterations, reldev=0.659956, converged!
Step 128/300: V_g=0.139799: 13 iterations, reldev=0.526156, converged!
Step 129/300: V_g=0.142475: 13 iterations, reldev=0.538718, converged!
Step 130/300: V_g=0.145151: 13 iterations, reldev=0.52998, converged!
Step 131/300: V_g=0.147826: 13 iterations, reldev=0.568749, converged!
Step 132/300: V_g=0.150502: 13 iterations, reldev=0.556078, converged!
Step 133/300: V_g=0.153177: 13 iterations, reldev=0.549214, converged!
Step 134/300: V_g=0.155853: 13 iterations, reldev=0.583769, converged!
Step 135/300: V_g=0.158528: 13 iterations, reldev=0.531658, converged!
Step 136/300: V_g=0.161204: 13 iterations, reldev=0.649385, converged!
Step 137/300: V_g=0.16388: 13 iterations, reldev=0.565008, converged!
Step 138/300: V_g=0.166555: 13 iterations, reldev=0.565612, converged!
Step 139/300: V_g=0.169231: 13 iterations, reldev=0.537493, converged!
Step 140/300: V_g=0.171906: 13 iterations, reldev=0.528097, converged!
Step 141/300: V_g=0.174582: 13 iterations, reldev=0.584736, converged!
Step 142/300: V_g=0.177258: 13 iterations, reldev=0.554501, converged!
Step 143/300: V_g=0.179933: 13 iterations, reldev=0.531259, converged!
Step 144/300: V_g=0.182609: 13 iterations, reldev=0.504087, converged!
Step 145/300: V_g=0.185284: 13 iterations, reldev=0.536112, converged!
Step 146/300: V_g=0.18796: 13 iterations, reldev=0.573234, converged!
Step 147/300: V_g=0.190635: 13 iterations, reldev=0.499888, converged!
Step 148/300: V_g=0.193311: 13 iterations, reldev=0.467475, converged!
Step 149/300: V_g=0.195987: 14 iterations, reldev=0.293127, converged!
Step 150/300: V_g=0.198662: 13 iterations, reldev=0.499668, converged!
Step 151/300: V_g=0.201338: 13 iterations, reldev=0.494929, converged!
Step 152/300: V_g=0.204013: 13 iterations, reldev=0.4887, converged!
Step 153/300: V_g=0.206689: 13 iterations, reldev=0.506859, converged!
Step 154/300: V_g=0.209365: 13 iterations, reldev=0.526108, converged!
Step 155/300: V_g=0.21204: 13 iterations, reldev=0.472861, converged!
Step 156/300: V_g=0.214716: 13 iterations, reldev=0.472189, converged!
Step 157/300: V_g=0.217391: 13 iterations, reldev=0.475377, converged!
Step 158/300: V_g=0.220067: 13 iterations, reldev=0.476579, converged!
Step 159/300: V_g=0.222742: 13 iterations, reldev=0.495115, converged!
Step 160/300: V_g=0.225418: 13 iterations, reldev=0.475627, converged!
Step 161/300: V_g=0.228094: 13 iterations, reldev=0.456056, converged!
Step 162/300: V_g=0.230769: 13 iterations, reldev=0.48527, converged!
Step 163/300: V_g=0.233445: 13 iterations, reldev=0.483565, converged!
Step 164/300: V_g=0.23612: 13 iterations, reldev=0.510426, converged!
Step 165/300: V_g=0.238796: 13 iterations, reldev=0.449067, converged!
Step 166/300: V_g=0.241472: 13 iterations, reldev=0.506, converged!
Step 167/300: V_g=0.244147: 13 iterations, reldev=0.483348, converged!
Step 168/300: V_g=0.246823: 13 iterations, reldev=0.513869, converged!
Step 169/300: V_g=0.249498: 13 iterations, reldev=0.489887, converged!
Step 170/300: V_g=0.252174: 13 iterations, reldev=0.499258, converged!
Step 171/300: V_g=0.254849: 13 iterations, reldev=0.519839, converged!
Step 172/300: V_g=0.257525: 13 iterations, reldev=0.524214, converged!
Step 173/300: V_g=0.260201: 13 iterations, reldev=0.509508, converged!
Step 174/300: V_g=0.262876: 13 iterations, reldev=0.533798, converged!
Step 175/300: V_g=0.265552: 13 iterations, reldev=0.567513, converged!
Step 176/300: V_g=0.268227: 13 iterations, reldev=0.571671, converged!
Step 177/300: V_g=0.270903: 13 iterations, reldev=0.591069, converged!
Step 178/300: V_g=0.273579: 13 iterations, reldev=0.543558, converged!
Step 179/300: V_g=0.276254: 13 iterations, reldev=0.537073, converged!
Step 180/300: V_g=0.27893: 13 iterations, reldev=0.535171, converged!
Step 181/300: V_g=0.281605: 13 iterations, reldev=0.547941, converged!
