Step 222/300: V_g=0.391304: 14 iterations, reldev=0.936074, converged!
Step 223/300: V_g=0.39398: 14 iterations, reldev=0.766097, converged!
Step 224/300: V_g=0.396656: 14 iterations, reldev=0.975728, converged!
Step 225/300: V_g=0.399331: 14 iterations, reldev=0.942897, converged!
Step 226/300: V_g=0.402007: 14 iterations, reldev=0.993213, converged!
Step 227/300: V_g=0.404682: 15 iterations, reldev=0.382201, converged!
Step 228/300: V_g=0.407358: 15 iterations, reldev=0.378376, converged!
Step 229/300: V_g=0.410033: 15 iterations, reldev=0.427799, converged!
Step 230/300: V_g=0.412709: 15 iterations, reldev=0.484057, converged!
Step 231/300: V_g=0.415385: 15 iterations, reldev=0.56226, converged!
Step 232/300: V_g=0.41806: 15 iterations, reldev=0.598254, converged!
Step 233/300: V_g=0.420736: 15 iterations, reldev=0.63161, converged!
Step 234/300: V_g=0.423411: 15 iterations, reldev=0.623299, converged!
Step 235/300: V_g=0.426087: 15 iterations, reldev=0.500191, converged!
Step 236/300: V_g=0.428763: 15 iterations, reldev=0.557909, converged!
Step 237/300: V_g=0.431438: 15 iterations, reldev=0.535268, converged!
Step 238/300: V_g=0.434114: 15 iterations, reldev=0.532525, converged!
Step 239/300: V_g=0.436789: 15 iterations, reldev=0.441547, converged!
Step 240/300: V_g=0.439465: 15 iterations, reldev=0.444365, converged!
Step 241/300: V_g=0.44214: 15 iterations, reldev=0.413929, converged!
Step 242/300: V_g=0.444816: 15 iterations, reldev=0.386762, converged!
Step 243/300: V_g=0.447492: 15 iterations, reldev=0.370355, converged!
Step 244/300: V_g=0.450167: 15 iterations, reldev=0.467471, converged!
Step 245/300: V_g=0.452843: 15 iterations, reldev=0.417956, converged!
Step 246/300: V_g=0.455518: 15 iterations, reldev=0.478158, converged!
Step 247/300: V_g=0.458194: 15 iterations, reldev=0.45834, converged!
Step 248/300: V_g=0.46087: 15 iterations, reldev=0.443293, converged!
Step 249/300: V_g=0.463545: 15 iterations, reldev=0.446529, converged!
Step 250/300: V_g=0.466221: 15 iterations, reldev=0.428981, converged!
Step 251/300: V_g=0.468896: 15 iterations, reldev=0.410911, converged!
Step 252/300: V_g=0.471572: 15 iterations, reldev=0.384333, converged!
Step 253/300: V_g=0.474247: 15 iterations, reldev=0.357507, converged!
Step 254/300: V_g=0.476923: 15 iterations, reldev=0.3373, converged!
Step 255/300: V_g=0.479599: 15 iterations, reldev=0.342895, converged!
Step 256/300: V_g=0.482274: 15 iterations, reldev=0.301876, converged!
Step 257/300: V_g=0.48495: 15 iterations, reldev=0.393006, converged!
Step 258/300: V_g=0.487625: 15 iterations, reldev=0.31147, converged!
Step 259/300: V_g=0.490301: 15 iterations, reldev=0.353322, converged!
Step 260/300: V_g=0.492977: 15 iterations, reldev=0.359754, converged!
Step 261/300: V_g=0.495652: 15 iterations, reldev=0.331663, converged!
Step 262/300: V_g=0.498328: 15 iterations, reldev=0.509442, converged!
Step 263/300: V_g=0.501003: 15 iterations, reldev=0.357112, converged!
Step 264/300: V_g=0.503679: 15 iterations, reldev=0.536891, converged!
Step 265/300: V_g=0.506355: 15 iterations, reldev=0.366516, converged!
Step 266/300: V_g=0.50903: 15 iterations, reldev=0.611776, converged!
Step 267/300: V_g=0.511706: 15 iterations, reldev=0.584662, converged!
Step 268/300: V_g=0.514381: 17 iterations, reldev=0.17372, converged!
Step 269/300: V_g=0.517057: 15 iterations, reldev=0.448521, converged!
Step 270/300: V_g=0.519732: 15 iterations, reldev=0.474804, converged!
Step 271/300: V_g=0.522408: 15 iterations, reldev=0.509911, converged!
Step 272/300: V_g=0.525084: 15 iterations, reldev=0.527769, converged!
Step 273/300: V_g=0.527759: 16 iterations, reldev=0.177843, converged!
Step 274/300: V_g=0.530435: 15 iterations, reldev=0.642683, converged!
Step 275/300: V_g=0.53311: 16 iterations, reldev=0.194796, converged!
Step 276/300: V_g=0.535786: 16 iterations, reldev=0.221352, converged!
Step 277/300: V_g=0.538462: 15 iterations, reldev=0.843509, converged!
Step 278/300: V_g=0.541137: 15 iterations, reldev=0.777151, converged!
Step 279/300: V_g=0.543813: 15 iterations, reldev=0.934294, converged!
Step 280/300: V_g=0.546488: 16 iterations, reldev=0.265584, converged!
Step 281/300: V_g=0.549164: 16 iterations, reldev=0.274205, converged!
Step 282/300: V_g=0.551839: 16 iterations, reldev=0.307672, converged!
Step 283/300: V_g=0.554515: 16 iterations, reldev=0.239718, converged!
Step 284/300: V_g=0.557191: 16 iterations, reldev=0.178661, converged!
Step 285/300: V_g=0.559866: 16 iterations, reldev=0.217982, converged!
Step 286/300: V_g=0.562542: 16 iterations, reldev=0.22927, converged!
Step 287/300: V_g=0.565217: 16 iterations, reldev=0.235111, converged!
Step 288/300: V_g=0.567893: 16 iterations, reldev=0.176857, converged!
Step 289/300: V_g=0.570569: 15 iterations, reldev=0.465061, converged!
Step 290/300: V_g=0.573244: 16 iterations, reldev=0.194974, converged!
Step 291/300: V_g=0.57592: 16 iterations, reldev=0.16712, converged!
Step 292/300: V_g=0.578595: 16 iterations, reldev=0.16575, converged!
Step 293/300: V_g=0.581271: 16 iterations, reldev=0.158563, converged!
Step 294/300: V_g=0.583946: 16 iterations, reldev=0.222453, converged!
Step 295/300: V_g=0.586622: 16 iterations, reldev=0.185011, converged!
Step 296/300: V_g=0.589298: 16 iterations, reldev=0.193838, converged!
Step 297/300: V_g=0.591973: 16 iterations, reldev=0.226767, converged!
Step 298/300: V_g=0.594649: 16 iterations, reldev=0.246366, converged!
Step 299/300: V_g=0.597324: 16 iterations, reldev=0.279745, converged!
Step 300/300: V_g=0.6: 16 iterations, reldev=0.2971, converged!
Step 1/300: V_g=-0.2: 16 iterations, reldev=0.434692, converged!
Step 2/300: V_g=-0.197324: 29 iterations, reldev=1.99012e+06, DIVERGED!!!
29 iterations, reldev=648966, DIVERGED!!!
Step 3/300: V_g=-0.194649: 27 iterations, reldev=0.255917, converged!
Step 4/300: V_g=-0.191973: 21 iterations, reldev=0.827807, converged!
Step 5/300: V_g=-0.189298: 19 iterations, reldev=0.267595, converged!
Step 6/300: V_g=-0.186622: 15 iterations, reldev=0.888219, converged!
Step 7/300: V_g=-0.183946: 25 iterations, reldev=0.55272, converged!
Step 8/300: V_g=-0.181271: 20 iterations, reldev=0.76183, converged!
Step 9/300: V_g=-0.178595: 17 iterations, reldev=0.874772, converged!
Step 10/300: V_g=-0.17592: 20 iterations, reldev=0.896474, converged!
Step 11/300: V_g=-0.173244: 17 iterations, reldev=0.783404, converged!
Step 12/300: V_g=-0.170569: 18 iterations, reldev=0.904749, converged!
Step 13/300: V_g=-0.167893: 18 iterations, reldev=0.624662, converged!
Step 14/300: V_g=-0.165217: 29 iterations, reldev=3.83231, DIVERGED!!!
29 iterations, reldev=8.11676, DIVERGED!!!
Step 15/300: V_g=-0.162542: 18 iterations, reldev=0.991789, converged!
Step 16/300: V_g=-0.159866: 19 iterations, reldev=0.848787, converged!
Step 17/300: V_g=-0.157191: 18 iterations, reldev=0.71729, converged!
Step 18/300: V_g=-0.154515: 17 iterations, reldev=0.565025, converged!
Step 19/300: V_g=-0.151839: 16 iterations, reldev=0.523077, converged!
Step 20/300: V_g=-0.149164: 29 iterations, reldev=856187, DIVERGED!!!
29 iterations, reldev=653888, DIVERGED!!!
Step 21/300: V_g=-0.146488: 25 iterations, reldev=0.505105, converged!
Step 22/300: V_g=-0.143813: 25 iterations, reldev=0.764215, converged!
Step 23/300: V_g=-0.141137: 24 iterations, reldev=0.909763, converged!
Step 24/300: V_g=-0.138462: 16 iterations, reldev=0.440814, converged!
Step 25/300: V_g=-0.135786: 16 iterations, reldev=0.213679, converged!
Step 26/300: V_g=-0.13311: 15 iterations, reldev=0.935736, converged!
Step 27/300: V_g=-0.130435: 17 iterations, reldev=0.116903, converged!
Step 28/300: V_g=-0.127759: 16 iterations, reldev=0.869956, converged!
Step 29/300: V_g=-0.125084: 16 iterations, reldev=0.502231, converged!
Step 30/300: V_g=-0.122408: 16 iterations, reldev=0.19605, converged!
Step 31/300: V_g=-0.119732: 17 iterations, reldev=0.619069, converged!
Step 32/300: V_g=-0.117057: 16 iterations, reldev=0.174923, converged!
Step 33/300: V_g=-0.114381: 14 iterations, reldev=0.712511, converged!
Step 34/300: V_g=-0.111706: 15 iterations, reldev=0.45208, converged!
Step 35/300: V_g=-0.10903: 17 iterations, reldev=0.940593, converged!
Step 36/300: V_g=-0.106355: 15 iterations, reldev=0.438605, converged!
Step 37/300: V_g=-0.103679: 17 iterations, reldev=0.699869, converged!
Step 38/300: V_g=-0.101003: 16 iterations, reldev=0.738142, converged!
Step 39/300: V_g=-0.0983278: 16 iterations, reldev=0.432618, converged!
Step 40/300: V_g=-0.0956522: 15 iterations, reldev=0.567866, converged!
Step 41/300: V_g=-0.0929766: 15 iterations, reldev=0.138193, converged!
Step 42/300: V_g=-0.090301: 15 iterations, reldev=0.907046, converged!
Step 43/300: V_g=-0.0876254: 17 iterations, reldev=0.12409, converged!
